RxnID	rxnEq	rxnCTrans	rates	rxnType	basis	deviation
#	ac_i
#	ala-L_i
#	arg-L_i
#	asp-L_i
#	co2_i
#	glc-D_i
#	gln-L_i
#	glucys_i
#	gly_i
#	glyc_i
#	glycogen_i
#	prot_ala_i
#	prot_arg_i
#	ser-L_i

##	measurements

##	error
